repo,org,datasources,teacher,eval_benchmark,candidate,swept
DCAgent/All_Puzzles_5k,DCAgent,,,,False,False
DCAgent/All_Puzzles_5k-sandboxes,DCAgent,,,,False,False
DCAgent/All_Puzzles_5k-sandboxes_10k,DCAgent,,,,False,False
DCAgent/All_Puzzles_5k-sandboxes_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True,True
DCAgent/All_Puzzles_5k_New_Context_GPT4o-mini,DCAgent,,,,False,False
DCAgent/All_Puzzles_5k_New_Context_GPT4o-mini_new_context,DCAgent,,,,False,False
DCAgent/All_Puzzles_5k_New_Context_Hritik,DCAgent,,,,False,False
DCAgent/All_Puzzles_5k_OG_5k_New_Context_GPT4o-mini_new_context,DCAgent,,,,False,False
DCAgent/All_Puzzles_5k_new_context,DCAgent,,,,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_New_Context_GPT4o-mini_new_conte47718cea,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_New_Context_GPT4o-mini_new_conted94965d0,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_New_Context_GPT4o-mini_new_contef692080c,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_OG_5k_New_Context_GPT4o-mini_new9e24108f,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_OG_5k_New_Context_GPT4o-mini_newe2215984,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_new_context_20251104_173207,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_new_context_20251110_001220,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_All_Puzzles_5k_new_context_20251112_001300,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-g-f7edb1db,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gp0edf882c,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gp17692ca5,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gp1e651cb4,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gp3306a1f5,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gp3fdc7f09,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gpa0fc32ca,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gpcbb7316f,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gpdb9f84da,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_all-puzzles-sandboxes-traces-terminus-2-with-gpf7edb1db,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_bash_textbook_tasks_traces_20251104_110710,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_bash_textbook_tasks_traces_20251109_033439,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_bash_textbook_tasks_traces_20251109_072424,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_bash_textbook_tasks_traces_20251111_223241,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam-0670a22c,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam-592fbdab,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam-60b0b114,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam-7d8ce79b,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam-85ff894d,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam-9049c2c2,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam-9f796e10,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam04d41395,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam0615244f,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam0657e8e7,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam0670a22c,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam09cff3d3,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam0aaf14f2,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam0ac1d534,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam0ae6b740,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam0c77cdbb,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam1045088f,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam11175e1b,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam12256f45,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam1388673d,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam15c60893,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam163938a5,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam16e3ace0,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam19e8a318,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam1c6cff46,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam1df4e031,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam1fc55b11,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam23aea7d3,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam2489a362,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam24f1dfad,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam2596dc6c,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam259e05d9,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam27c44391,DCAgent,,MiniMax-M2.7,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam2b898bf2,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam2bdd5bfe,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam313889f4,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam3459826f,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam39f9a589,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam3c7538cd,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam3f5ba18e,DCAgent,,,dev_set,False,False
DCAgent/DCAgent_dev_set_71_tasks_DCAgent_code-contests-sandboxes-traces-terminus-2_adam4137ff35,DCAgent,,,dev_set,False,False
