repo,org,datasources,teacher,eval_benchmark,swept
DCAgent/All_Puzzles_5k-sandboxes_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/FourDatasetMixQwen3_8B_data,DCAgent,,Qwen3,,False
DCAgent/GLM-4.6-dev-71-tasks,DCAgent,,GLM-4.6,,False
DCAgent/GLM-4.6-dev-71-tasks-131k-maxtok-8192-tools,DCAgent,,GLM-4.6,,False
DCAgent/GLM-4.6-dev-71-tasks-maxtok-8192,DCAgent,,GLM-4.6,,False
DCAgent/GLM-4.6-dev-71-tasks-maxtok-8192-tools,DCAgent,,GLM-4.6,,False
DCAgent/GLM-4.6-dev-71-tasks-run2,DCAgent,,GLM-4.6,,False
DCAgent/GPT-5-mini-71-tasks,DCAgent,,GPT-5-mini,,False
DCAgent/GPT-5-mini-71-tasks-fix,DCAgent,,GPT-5-mini,,False
DCAgent/GPT-5-mini-71-tasks-maxgentok-8192,DCAgent,,GPT-5-mini,,False
DCAgent/GPT-5-mini-71-tasks-test,DCAgent,,GPT-5-mini,,False
DCAgent/GPT-5-nano-71-tasks,DCAgent,,GPT-5-nano,,False
DCAgent/Kimi-2.5-exp-gfi-staqc-embedding-mean-filtered-10K-maxeps-32k,DCAgent,,Kimi-2.5,,False
DCAgent/Kimi-2.5-exp-gfi-swesmith-random-filtered-10K-maxeps-32k,DCAgent,swesmith,Kimi-2.5,,True
DCAgent/Kimi-2.5-exp_rpt_codeelo-v2-maxeps-32k,DCAgent,,Kimi-2.5,,False
DCAgent/Kimi-2.5-swe_rebench_patched-maxeps-32k,DCAgent,,Kimi-2.5,,False
DCAgent/Kimi-2.6-exp-gfi-swesmith-random-filtered-10K-maxeps-32k,DCAgent,swesmith,Kimi-2.6,,True
DCAgent/Kimi-2.6-exp_rpt_codeelo-v2-maxeps-32k,DCAgent,,Kimi-2.6,,False
DCAgent/Magicoder-Evol-Instruct-110K-sandboxes-1_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/Qwen3-32B-dev-71-tasks,DCAgent,,Qwen3,,False
DCAgent/Qwen3-32B-dev-71-tasks-reasoning,DCAgent,,Qwen3,,False
DCAgent/Qwen3-8B-dev-71-tasks,DCAgent,,Qwen3,,False
DCAgent/Qwen3-Coder-30B-A3B-Instruct-dev-71-tasks,DCAgent,,Qwen3-Coder-30B,,False
DCAgent/Qwen3-Coder-30B-A3B-Instruct-dev-71-tasks-reasoning,DCAgent,,Qwen3-Coder-30B,,False
DCAgent/Qwen3-Coder-480B-A35B-Instruct-AWQ-dev-71-tasks,DCAgent,,Qwen3-Coder-480B,,False
DCAgent/Qwen3-Coder-480B-A35B-Instruct-AWQ-dev-71-tasks-131k-8192,DCAgent,,Qwen3-Coder-480B,,False
DCAgent/SERAlike-swesmith-25k,DCAgent,swesmith,,,False
DCAgent/Toolscale-tasks-upsampled-10k_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/a1_codereval_glm_4.7_traces,DCAgent,,GLM-4.7,,False
DCAgent/a1_issue_tasks,DCAgent,issue,,,True
DCAgent/a1_stack_bash_withtests_gpt5mini,DCAgent,,GPT-5-mini,,False
DCAgent/a1_stackexchange_tezos,DCAgent,tezos,,,True
DCAgent/a1_swesmith,DCAgent,swesmith,,,True
DCAgent/a2-rl-e2egit_large-traces,DCAgent,,,,True
DCAgent/all-puzzles-sandboxes-traces-terminus-2-with-gpt-4o-mini-judgments-correct,DCAgent,,,,True
DCAgent/b1_top4_seq,DCAgent,,,,True
DCAgent/bash_textbook_tasks_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/bash_textbook_tasks_traces,DCAgent,,,,True
DCAgent/bench-traces-1762122864,DCAgent,,,,True
DCAgent/bench-traces-1762124579,DCAgent,,,,True
DCAgent/bench-traces-1762127494,DCAgent,,,,True
DCAgent/bench-traces-1762129188,DCAgent,,,,True
DCAgent/bench-traces-30B_g16_pp4_tp1_r4_ep8_c32,DCAgent,,,,True
DCAgent/bench-traces-30B_g4_pp4_tp1_r1_ep8_c32,DCAgent,,,,True
DCAgent/bench-traces-30B_g8_pp4_tp1_r2_ep8_c32,DCAgent,,,,False
DCAgent/bench-traces-480B_g16_pp4_tp1_r4_ep8_c32,DCAgent,,,,True
DCAgent/bench-traces-480B_g16_pp4_tp1_r4_ep8_c32-20sectimeout,DCAgent,,,,False
DCAgent/bench-traces-480B_g16_pp8_tp1_r2_ep8_c128,DCAgent,,,,True
DCAgent/bench-traces-480B_g16_pp8_tp1_r2_ep8_c128-20sectimeout,DCAgent,,,,True
DCAgent/bench-traces-480B_g16_pp8_tp1_r2_ep8_c32,DCAgent,,,,True
DCAgent/bench-traces-480B_g16_pp8_tp1_r2_ep8_c32-20sectimeout,DCAgent,,,,True
DCAgent/bench-traces-480B_g16_pp8_tp1_r2_ep8_c64,DCAgent,,,,True
DCAgent/bench-traces-480B_g16_pp8_tp1_r2_ep8_c64-20sectimeout,DCAgent,,,,True
DCAgent/bench-traces-480B_g4_pp4_tp1_r1_ep8_c32,DCAgent,,,,True
DCAgent/bench-traces-480B_g4_pp4_tp1_r1_ep8_c32-20sectimeout,DCAgent,,,,True
DCAgent/bench-traces-480B_g8_pp4_tp1_r2_ep8_c32,DCAgent,,,,True
DCAgent/bench-traces-480B_g8_pp4_tp1_r2_ep8_c32-20sectimeout,DCAgent,,,,True
DCAgent/c1_gpt53_codex,DCAgent,,GPT-5.3-Codex,,False
DCAgent/c1_gpt53_codex_fixed,DCAgent,,GPT-5.3-Codex,,True
DCAgent/c1_kimi_k2.5,DCAgent,,Kimi-2.5,,False
DCAgent/c1_kimi_k2.5_fixed,DCAgent,,Kimi-2.5,,True
DCAgent/c1_top4_seq_glm46_traces,DCAgent,,GLM-4.6,,True
DCAgent/code-contests-sandboxes-traces-terminus-2,DCAgent,,,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_adam-beta1_0.95_Qwen3-8B,DCAgent,,Qwen3,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_adam-beta2_0.995,DCAgent,,,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_adam-beta2_0.998_Qwen3-8B,DCAgent,,Qwen3,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_learning-rate_0.001_Qwen3-8B,DCAgent,,Qwen3,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_max-grad-norm_0.05_Qwen3-8B,DCAgent,,Qwen3,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_num-train-epochs_8.0-dev-71-tasks,DCAgent,,,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_num-train-epochs_8.0_Qwen3-8B,DCAgent,,Qwen3,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_warmup-ratio_0.0_Qwen3-8B,DCAgent,,Qwen3,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_weight-decay_0.08,DCAgent,,,,True
DCAgent/code-contests-sandboxes-traces-terminus-2_weight-decay_0.0_Qwen3-8B,DCAgent,,Qwen3,,True
